Straftat,Stadt,,Opfer insg.,Opfer M,Opfer W,M bis unter 6,W bis unter 6,M  6 bis unter 14,W  6 bis unter 14,M 14 bis unter 18,W 14 bis unter 18,M 18 bis unter 21,W 18 bis unter 21,M 21 bis unter 60,W 21 bis unter 60,M 60 und �lter,W 60 und �lter
Straftaten insgesamt,Erfurt,vers.,398,272,126,1,0,10,12,19,1,23,10,197,95,22,8
Straftaten insgesamt,Erfurt,insg.,4.278,2.699,1.579,19,26,124,94,179,123,246,159,2.010,1.082,121,95
Straftaten insgesamt,Erlangen,voll.,987,598,389,8,1,17,15,42,34,36,39,461,272,34,28
Straftaten insgesamt,Erlangen,vers.,84,56,28,0,1,1,1,9,2,7,3,35,19,4,2
Straftaten insgesamt,Erlangen,insg.,1.071,654,417,8,2,18,16,51,36,43,42,496,291,38,30
Straftaten insgesamt,Essen,voll.,7.747,4.213,3.534,42,51,243,213,318,293,245,247,3.119,2.533,246,197
Straftaten insgesamt,Essen,vers.,486,295,191,3,0,11,12,18,14,23,15,215,139,25,11
Straftaten insgesamt,Essen,insg.,8.233,4.508,3.725,45,51,254,225,336,307,268,262,3.334,2.672,271,208
Straftaten insgesamt,Frankfurt am Main,voll.,12.321,7.910,4.411,53,43,198,118,301,215,476,361,6.466,3.391,416,283
Straftaten insgesamt,Frankfurt am Main,vers.,998,720,278,4,4,19,13,26,18,40,18,586,199,45,26
Straftaten insgesamt,Frankfurt am Main,insg.,13.319,8.630,4.689,57,47,217,131,327,233,516,379,7.052,3.590,461,309
Straftaten insgesamt,Freiburg im Breisgau,voll.,4.005,2.745,1.260,19,10,82,61,126,93,250,132,2.085,876,183,88
Straftaten insgesamt,Freiburg im Breisgau,vers.,314,219,95,4,0,3,2,5,2,19,8,166,75,22,8
Straftaten insgesamt,Freiburg im Breisgau,insg.,4.319,2.964,1.355,23,10,85,63,131,95,269,140,2.251,951,205,96
Straftaten insgesamt,F�rth,voll.,933,538,395,6,3,33,27,43,30,33,44,386,268,37,23
Straftaten insgesamt,F�rth,vers.,82,58,24,0,0,0,3,6,3,5,3,39,14,8,1
Straftaten insgesamt,F�rth,insg.,1.015,596,419,6,3,33,30,49,33,38,47,425,282,45,24
Straftaten insgesamt,Gelsenkirchen,voll.,4.402,2.435,1.967,15,28,161,113,182,178,196,148,1.730,1.376,151,124
Straftaten insgesamt,Gelsenkirchen,vers.,256,161,95,1,1,7,7,19,8,5,5,113,61,16,13
Straftaten insgesamt,Gelsenkirchen,insg.,4.658,2.596,2.062,16,29,168,120,201,186,201,153,1.843,1.437,167,137
Straftaten insgesamt,G�ttingen,voll.,2.006,1.203,803,14,8,43,24,54,67,106,74,907,580,79,50
Straftaten insgesamt,G�ttingen,vers.,198,139,59,1,1,1,1,8,2,11,6,105,45,13,4
Straftaten insgesamt,G�ttingen,insg.,2.204,1.342,862,15,9,44,25,62,69,117,80,1.012,625,92,54
Straftaten insgesamt,G�tersloh,voll.,1.300,745,555,4,2,21,32,42,39,70,28,559,415,49,39
Straftaten insgesamt,G�tersloh,vers.,81,48,33,0,0,6,2,0,2,2,0,37,20,3,9
Straftaten insgesamt,G�tersloh,insg.,1.381,793,588,4,2,27,34,42,41,72,28,596,435,52,48
Straftaten insgesamt,Hagen,voll.,2.871,1.676,1.195,16,16,116,70,128,97,110,99,1.197,864,109,49
Straftaten insgesamt,Hagen,vers.,183,106,77,0,0,5,9,6,1,3,7,88,56,4,4
Straftaten insgesamt,Hagen,insg.,3.054,1.782,1.272,16,16,121,79,134,98,113,106,1.285,920,113,53
Straftaten insgesamt,Halle (Saale),voll.,5.118,3.090,2.028,33,25,229,179,229,162,258,183,2.194,1.362,147,117
Straftaten insgesamt,Halle (Saale),vers.,403,270,133,2,1,6,5,22,6,20,8,203,100,17,13
Straftaten insgesamt,Halle (Saale),insg.,5.521,3.360,2.161,35,26,235,184,251,168,278,191,2.397,1.462,164,130
Straftaten insgesamt,Hamburg,voll.,31.109,18.863,12.246,132,86,792,631,1.028,835,1.364,952,14.453,8.987,1.094,755
Straftaten insgesamt,Hamburg,vers.,1.887,1.294,593,7,4,41,25,86,41,82,29,1.001,446,77,48
Straftaten insgesamt,Hamburg,insg.,32.996,20.157,12.839,139,90,833,656,1.114,876,1.446,981,15.454,9.433,1.171,803
Straftaten insgesamt,Hamm,voll.,2.665,1.439,1.226,16,20,106,71,125,137,91,90,1.022,850,79,58
Straftaten insgesamt,Hamm,vers.,207,127,80,1,1,9,5,15,9,6,7,90,52,6,6
Straftaten insgesamt,Hamm,insg.,2.872,1.566,1.306,17,21,115,76,140,146,97,97,1.112,902,85,64
Straftaten insgesamt,Hannover,voll.,11.426,7.247,4.179,64,55,311,187,393,337,590,300,5.522,3.068,367,232
Straftaten insgesamt,Hannover,vers.,917,651,266,4,5,20,8,42,20,43,17,511,193,31,23
Straftaten insgesamt,Hannover,insg.,12.343,7.898,4.445,68,60,331,195,435,357,633,317,6.033,3.261,398,255
Straftaten insgesamt,Heidelberg,voll.,1.976,1.251,725,13,7,36,25,54,29,91,68,977,539,80,57
Straftaten insgesamt,Heidelberg,vers.,140,90,50,2,2,0,0,11,1,7,4,61,36,9,7
Straftaten insgesamt,Heidelberg,insg.,2.116,1.341,775,15,9,36,25,65,30,98,72,1.038,575,89,64
Straftaten insgesamt,Heilbronn,voll.,1.548,951,597,14,3,35,24,48,48,68,53,722,436,64,33
